30,19,0.01,6.941,10,15,808,2.04
50,19,0.01,4.637,10,15,1376,3.08
70,19,0.01,3.566,10,15,2106,3.99
30,17,0.01,6.61,10,15,667,2.17
50,17,0.01,4.915,10,15,1069,2.88
70,17,0.01,3.687,10,15,1702,3.85
30,15,0.01,6.596,10,15,631,2.17
50,15,0.01,4.828,10,15,919,2.94
70,15,0.01,3.671,10,15,1477,3.88
30,13,0.01,6.475,10,15,544,2.21
50,13,0.01,4.807,10,15,834,2.96
70,13,0.01,3.559,10,15,1369,4.01
30,11,0.01,6.697,10,15,403,2.13
50,11,0.01,4.839,10,15,702,2.93
70,11,0.01,3.512,10,15,1239,4.06
30,9,0.01,6.633,10,15,381,2.14
50,9,0.01,4.698,10,15,657,3.01
70,9,0.01,3.408,10,15,1258,4.18
30,6,0.01,6.462,10,15,115,2.12
50,6,0.01,4.487,10,15,270,3.04
70,6,0.01,3.223,10,15,802,4.39
